                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9193,                 4.5572,                  3.034,                 2.3106,                 9.5838,                 2.5043,                0.00105,                  0.225,                0.02478,                0.00488,                 2.6199,                 5.4475,                 3.6192,                 2.2606,                 14.964,                 3.4234,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.6616,                 4.3112,                 2.8037,                 2.0699,                 8.8971,                 2.3679,                0.00159,                    0.3,                0.00303,                0.00074,                 2.6314,                 5.3954,                   3.44,                 2.2425,                 14.866,                 3.1612,             0.00014854,             0.00014854,             0.00014854
                      3,                 1.9191,                 3.8551,                 2.1889,                  1.505,                 8.4199,                 1.9131,                0.00408,                      1,                0.24657,                0.09084,                 1.4779,                 4.0897,                 1.7337,                 1.2059,                 12.349,                 1.5827,             0.00022876,             0.00022876,             0.00022876
                      4,                 1.5996,                 3.0237,                 1.7925,                 1.2852,                 7.2443,                 1.5574,                0.00373,                      1,                0.17053,                0.07982,                 1.3454,                 3.9332,                 1.8573,                 1.0101,                 12.151,                 1.5796,             0.00030732,             0.00030732,             0.00030732
                      5,                 1.6203,                  2.627,                 1.8341,                  1.342,                 6.9999,                 1.6383,                0.00345,                      1,                0.24429,                0.12573,                 1.5199,                 3.9659,                 2.0196,                 1.2201,                  12.29,                 1.6136,             0.00038424,             0.00038424,             0.00038424
                      6,                 1.6045,                 2.5964,                 1.7671,                 1.3071,                 7.1186,                 1.4952,                0.00345,                      1,                0.25845,                0.11618,                  1.574,                 4.0337,                 1.9462,                 1.1935,                 12.263,                 1.6618,              0.0004595,              0.0004595,              0.0004595
                      7,                 1.6144,                 2.5164,                 1.7538,                 1.3222,                 6.8576,                 1.4696,                0.00344,                  0.975,                0.05787,                0.02152,                 1.8567,                 4.1819,                 2.2937,                 1.3932,                 13.022,                 1.8654,             0.00053311,             0.00053311,             0.00053311
                      8,                 1.5906,                 2.3675,                 1.6921,                 1.3928,                 6.4622,                 1.4953,                 0.0031,                  0.925,                 0.1109,                0.04088,                 1.9391,                  4.348,                 2.7779,                 1.8576,                 13.388,                 2.6326,             0.00060508,             0.00060508,             0.00060508
                      9,                 1.5335,                 2.3091,                 1.6454,                 1.4574,                 6.1601,                 1.5376,                0.00334,                      1,                0.11671,                0.02502,                 2.5241,                 4.1691,                 4.0859,                  2.053,                 13.293,                 2.9328,             0.00067539,             0.00067539,             0.00067539
                     10,                 1.5549,                 2.1414,                 1.6138,                 1.4785,                 5.6726,                 1.4706,                0.00335,                      1,                0.29925,                0.11046,                 2.2742,                 3.5805,                 3.2921,                 1.6501,                 12.203,                 2.3967,             0.00074405,             0.00074405,             0.00074405
                     11,                 1.5423,                 2.0552,                 1.6145,                 1.4609,                 5.3829,                 1.4495,                0.60818,                  0.475,                0.36268,                0.13581,                  2.133,                 3.4937,                 2.8301,                 1.5172,                 11.678,                 2.5722,             0.00081106,             0.00081106,             0.00081106
                     12,                 1.5158,                 2.0417,                 1.5823,                 1.3884,                 5.3261,                 1.4103,                0.76505,                0.22566,                 0.3252,                0.13312,                 1.6544,                 3.4427,                 2.1758,                  1.413,                 11.232,                 2.0627,             0.00087642,             0.00087642,             0.00087642
                     13,                 1.4946,                 2.0641,                 1.5614,                  1.358,                 5.3789,                 1.4338,                0.00334,                      1,                0.35277,                0.16211,                 1.7146,                  3.207,                 2.1332,                 1.4884,                 11.209,                 2.0868,             0.00094013,             0.00094013,             0.00094013
                     14,                 1.5316,                 1.9388,                 1.5502,                 1.4624,                 4.7911,                 1.3979,                0.22932,                  0.325,                0.27934,                0.12214,                  1.892,                  3.369,                  2.572,                 1.7691,                 11.526,                 2.5204,              0.0010022,              0.0010022,              0.0010022
                     15,                 1.4776,                 1.9503,                 1.5262,                 1.4199,                 4.9583,                 1.4288,                0.59851,                  0.075,                0.22369,                0.08808,                 2.2204,                 3.8678,                 2.6339,                 1.8786,                 11.581,                 2.4592,              0.0010626,              0.0010626,              0.0010626
                     16,                 1.5678,                 1.9151,                 1.5522,                 1.4771,                 4.4993,                 1.4193,                0.54172,                0.12048,                0.37665,                0.17592,                 1.9763,                 3.5286,                 2.6647,                 1.5109,                 10.427,                 1.9468,              0.0011214,              0.0011214,              0.0011214
